"Time","Handle/0/X","Handle/0/Y","Shoulder/0/X","Shoulder/0/Y","Seat/0/X","Seat/0/Y"
"1.084","106.5","-123","251","85","300","-156"
"1.093","104.4671","-123.0641","283.4949","70.99789","299.9883","-155.9895"
"1.101","101.4958","-123.191","281.5023","71.00375","299.9882","-156.9852"
"1.109","99.47559","-124.16","280.5061","70.00226","299.9842","-156.9763"
"1.118","96.50311","-124.2038","279.5101","70.00031","299.9709","-156.9621"
"1.126","94.48608","-124.2824","278.5082","69.99927","299.9609","-156.9542"
"1.134","91.50708","-125.1779","277.5044","70.99475","298.9632","-156.9518"
"1.143","89.47394","-125.1144","275.5135","70.98291","298.9567","-156.9442"
"1.151","86.48193","-125.0714","274.5197","70.96625","297.9633","-156.9421"
"1.159","84.45154","-125.0269","273.5267","70.94409","297.9608","-156.9352"
"1.168","81.4762","-124.9799","273.5242","69.96719","297.9467","-156.9221"
"1.176","79.49121","-125.9099","272.5216","69.98984","296.945","-156.9149"
"1.185","77.48944","-125.8185","271.5172","70.0072","296.9316","-156.9028"
"1.193","75.47443","-124.8952","269.5234","69.02271","295.9275","-156.8956"
"1.201","72.5025","-124.9526","268.5298","69.03558","294.9335","-156.8927"
"1.21","70.5105","-124.9623","267.5334","69.04291","294.9254","-156.8848"
"1.218","68.50073","-124.9584","266.5376","69.04871","293.9275","-156.8807"
"1.226","66.47736","-124.931","265.542","69.04752","293.9144","-156.873"
"1.235","63.50751","-124.9","264.5463","69.04636","292.9126","-156.8701"
"1.243","61.52002","-124.8597","263.548","69.03986","291.9168","-156.8717"
"1.251","59.52533","-124.8211","262.5496","69.03271","291.9078","-156.8672"
"1.26","57.52063","-124.8011","261.5513","69.02621","290.9045","-156.8668"
"1.268","55.52142","-124.7894","260.5531","69.02011","289.9098","-156.8679"
"1.276","53.53748","-124.7769","259.5559","69.01566","289.899","-156.8646"
"1.285","51.57361","-124.7505","258.5589","69.01251","288.8978","-156.8667"
"1.293","49.61853","-124.696","257.5611","69.01083","287.9005","-156.8741"
"1.301","48.60236","-123.7763","256.5639","69.01141","287.8895","-156.8755"
"1.31","46.57904","-123.8059","255.5684","69.01147","286.8821","-156.8778"
"1.318","44.55292","-123.8012","254.5726","69.01224","285.8833","-156.8823"
"1.326","41.57874","-123.757","253.5787","69.01816","284.8901","-156.8929"
"1.335","40.56311","-122.7937","252.5852","69.02399","284.8818","-156.8978"
"1.343","37.57037","-122.7637","251.5944","69.02695","283.8765","-156.906"
"1.351","35.56201","-121.7829","250.6031","69.02991","282.8801","-156.9172"
"1.36","33.5498","-120.8624","249.6135","69.04068","281.8858","-156.931"
"1.368","31.52808","-120.8236","248.6235","69.05334","281.8719","-156.9374"
"1.376","29.49622","-119.8412","248.6263","69.061","280.8672","-156.9486"
"1.385","26.50928","-118.8976","247.6292","69.06766","279.8672","-156.9635"
"1.393","24.48315","-117.9722","246.6323","69.08572","278.8713","-156.9829"
"1.401","21.49408","-117.0791","245.6351","69.10474","277.8781","-157.0054"
"1.41","19.492","-115.1904","247.6349","70.10873","277.8689","-156.0219"
"1.418","17.47449","-115.108","246.6346","70.11249","276.8608","-156.0392"
"1.426","15.45563","-113.2251","245.6351","70.12173","275.8596","-156.0656"
"1.435","12.46045","-113.1657","244.6356","70.13232","274.8627","-156.0927"
"1.443","10.47974","-111.2523","246.6357","71.13528","273.8668","-156.1239"
"1.451","7.461609","-110.2342","245.6358","71.13831","272.8715","-156.1554"
"1.46","5.434937","-109.1697","244.6359","71.14594","271.8686","-157.1127"
"1.468","3.43512","-108.1174","242.6352","71.14975","270.869","-157.0724"
"1.476","1.450623","-106.1547","242.636","71.15942","269.8746","-157.0402"
"1.485","-0.5504761","-105.1841","241.6367","71.17169","268.8801","-157.0105"
"1.493","-2.553284","-104.1543","239.637","71.1835","267.8861","-156.9806"
"1.502","-5.5755","-103.066","240.6373","72.1731","266.8918","-157.9498"
"1.51","-7.601501","-101.0893","239.6367","72.1636","265.8992","-157.9225"
"1.518","-9.625122","-100.1199","238.6362","72.15442","264.9057","-157.8942"
"1.527","-11.66522","-99.10754","237.6362","72.14706","263.9124","-157.8678"
"1.535","-14.65686","-98.05609","240.6388","69.14526","263.9006","-157.8303"
"1.543","-16.67126","-96.92117","234.6404","72.13803","261.9068","-157.8054"
"1.552","-18.69659","-96.793","238.6411","69.13611","260.9124","-157.7793"
"1.56","-20.73022","-95.68262","237.6403","69.13467","259.9148","-157.752"
"1.568","-22.73389","-94.63239","236.6385","69.13321","258.9175","-157.7234"
"1.577","-24.72925","-93.59521","235.6364","69.13174","257.9195","-157.7012"
"1.585","-25.73749","-92.53625","233.638","69.13208","256.9215","-157.679"
"1.593","-27.76044","-91.45224","232.6387","69.13254","255.9213","-157.6533"
"1.602","-30.75861","-90.38028","231.6381","69.133","254.9218","-157.6259"
"1.61","-32.76862","-89.37698","230.6374","69.13245","253.9194","-157.5996"
"1.618","-34.76886","-88.41394","229.6354","69.1308","252.9165","-157.5736"
"1.627","-36.78101","-88.25214","227.6373","69.13095","251.9138","-157.5489"
"1.635","-38.79419","-86.27872","226.6371","69.13037","250.9108","-157.522"
"1.643","-40.81732","-85.31735","225.6363","69.12875","249.909","-157.4967"
"1.652","-42.83258","-85.19128","224.634","69.12589","248.9063","-157.4708"
"1.66","-44.84875","-84.09592","223.6307","69.12146","247.903","-157.4424"
"1.668","-46.84955","-83.02542","222.6309","68.12314","246.9","-157.414"
"1.677","-48.8595","-81.96683","220.6315","69.11972","245.8978","-157.3868"
"1.685","-50.87256","-81.95898","219.6304","69.11456","244.8953","-157.3578"
"1.693","-52.87988","-80.98798","218.6318","68.11652","243.893","-157.3292"
"1.702","-53.93256","-80.8371","217.6318","68.11722","242.8878","-157.3004"
"1.71","-56.93427","-79.76096","217.6286","67.11523","241.8831","-157.2722"
"1.718","-57.98352","-78.75974","216.6249","67.11227","240.8793","-157.2452"
"1.727","-60.97998","-77.80145","213.6271","68.11401","239.8762","-157.2191"
